size,quickselect,heapselect,medianmediansselect
214, 0.000003, 0.000003, 0.000013
214, 0.000003, 0.000003, 0.000015
214, 0.000002, 0.000003, 0.000013
239, 0.000002, 0.000004, 0.000017
239, 0.000002, 0.000005, 0.000018
239, 0.000004, 0.000004, 0.000016
239, 0.000003, 0.000004, 0.000013
239, 0.000009, 0.000005, 0.000012
239, 0.000006, 0.000004, 0.000015
239, 0.000006, 0.000004, 0.000016
239, 0.000004, 0.000004, 0.000013
239, 0.000002, 0.000005, 0.000017
239, 0.000003, 0.000003, 0.000021
239, 0.000003, 0.000004, 0.000019
239, 0.000003, 0.000004, 0.000029
239, 0.000005, 0.000005, 0.000032
239, 0.000006, 0.000006, 0.000023
239, 0.000002, 0.000005, 0.000027
239, 0.000008, 0.000005, 0.000031
239, 0.000001, 0.000008, 0.000023
239, 0.000003, 0.000004, 0.000025
239, 0.000004, 0.000005, 0.000046
239, 0.000002, 0.000005, 0.000020
239, 0.000007, 0.000004, 0.000019
239, 0.000008, 0.000004, 0.000017
239, 0.000001, 0.000005, 0.000030
239, 0.000003, 0.000005, 0.000017
239, 0.000003, 0.000005, 0.000024
239, 0.000002, 0.000006, 0.000024
239, 0.000007, 0.000005, 0.000017
239, 0.000007, 0.000003, 0.000018
239, 0.000005, 0.000004, 0.000021
239, 0.000002, 0.000006, 0.000023
239, 0.000004, 0.000005, 0.000024
239, 0.000004, 0.000005, 0.000017
239, 0.000004, 0.000005, 0.000019
239, 0.000002, 0.000004, 0.000023
239, 0.000005, 0.000003, 0.000013
239, 0.000002, 0.000003, 0.000018
239, 0.000003, 0.000004, 0.000016
239, 0.000002, 0.000005, 0.000020
239, 0.000007, 0.000004, 0.000017
239, 0.000004, 0.000004, 0.000022
239, 0.000005, 0.000005, 0.000021
239, 0.000002, 0.000004, 0.000020
239, 0.000009, 0.000004, 0.000023
239, 0.000007, 0.000003, 0.000021
239, 0.000002, 0.000005, 0.000029
239, 0.000001, 0.000006, 0.000018
239, 0.000002, 0.000004, 0.000013
239, 0.000005, 0.000004, 0.000020
239, 0.000005, 0.000003, 0.000020
239, 0.000007, 0.000004, 0.000032
267, 0.000004, 0.000005, 0.000029
267, 0.000002, 0.000005, 0.000024
267, 0.000006, 0.000004, 0.000025
267, 0.000004, 0.000005, 0.000026
267, 0.000002, 0.000005, 0.000025
267, 0.000002, 0.000004, 0.000021
267, 0.000004, 0.000004, 0.000035
267, 0.000004, 0.000004, 0.000026
267, 0.000005, 0.000003, 0.000023
267, 0.000002, 0.000005, 0.000029
267, 0.000005, 0.000004, 0.000021
267, 0.000006, 0.000007, 0.000028
267, 0.000006, 0.000009, 0.000023
267, 0.000006, 0.000005, 0.000032
267, 0.000020, 0.000006, 0.000032
267, 0.000003, 0.000005, 0.000054
267, 0.000004, 0.000004, 0.000028
267, 0.000008, 0.000003, 0.000028
267, 0.000006, 0.000005, 0.000021
267, 0.000004, 0.000004, 0.000028
267, 0.000003, 0.000007, 0.000028
267, 0.000002, 0.000006, 0.000038
267, 0.000004, 0.000004, 0.000022
267, 0.000005, 0.000004, 0.000024
267, 0.000008, 0.000005, 0.000030
267, 0.000003, 0.000004, 0.000027
267, 0.000002, 0.000006, 0.000032
267, 0.000001, 0.000008, 0.000039
267, 0.000003, 0.000007, 0.000024
267, 0.000007, 0.000004, 0.000021
267, 0.000003, 0.000005, 0.000026
267, 0.000004, 0.000005, 0.000024
267, 0.000003, 0.000010, 0.000024
267, 0.000004, 0.000007, 0.000030
267, 0.000002, 0.000008, 0.000035
267, 0.000006, 0.000006, 0.000031
267, 0.000003, 0.000009, 0.000050
267, 0.000006, 0.000005, 0.000026
267, 0.000004, 0.000025, 0.000034
267, 0.000004, 0.000005, 0.000031
267, 0.000003, 0.000006, 0.000037
267, 0.000002, 0.000007, 0.000032
267, 0.000005, 0.000006, 0.000018
267, 0.000008, 0.000004, 0.000019
267, 0.000026, 0.000006, 0.000024
267, 0.000003, 0.000006, 0.000021
267, 0.000007, 0.000004, 0.000020
267, 0.000003, 0.000008, 0.000025
267, 0.000003, 0.000006, 0.000025
267, 0.000004, 0.000006, 0.000020
298, 0.000002, 0.000006, 0.000035
298, 0.000005, 0.000005, 0.000041
298, 0.000181, 0.000038, 0.000036
298, 0.000007, 0.000005, 0.000033
298, 0.000002, 0.000007, 0.000031
298, 0.000005, 0.000007, 0.000071
