"","size","quickselect_average","quickselect_variance","heapselect_average","heapselect_variance","medianmediansselect_average","medianmediansselect_variance"
"55",36565,0.000770875,8.70383173076923e-08,0.0072211,1.95511058871795e-05,0.002143225,4.91512044871795e-08
"56",40788,0.000866,5.7154358974359e-08,0.009583925,1.88139174557692e-05,0.002447825,9.03402506410256e-08
"57",45499,0.0010521,1.26037271794872e-07,0.009741425,2.36233203019231e-05,0.002618425,3.11042506410256e-08
"58",50753,0.00115455,1.52573946153846e-07,0.0095528,2.5791008574359e-05,0.002916975,5.13252044871795e-08
"59",56615,0.00128685,2.0583931025641e-07,0.011486225,3.73947267429487e-05,0.003283975,1.14799307051282e-07
"60",63153,0.00131825,1.65105423076923e-07,0.01360865,5.14301795153846e-05,0.00362435,9.13399256410256e-08
"61",70446,0.00164365,3.67909412820513e-07,0.017561975,5.72404687429487e-05,0.004164475,2.43337383974359e-07
"62",78582,0.001637875,3.41465907051282e-07,0.015958425,5.76399154301282e-05,0.0045107,2.14120471794872e-07
"63",87657,0.0019363,3.33438317948718e-07,0.022152875,7.60891432403846e-05,0.005312875,4.9170303525641e-07
"64",97780,0.00224575,5.44376141025641e-07,0.022299425,0.000159019379430128,0.005797025,5.55155768589744e-07
"65",109073,0.00248435,5.40879823076923e-07,0.027584825,0.000190926443789103,0.00648585,8.03640848717949e-07
"66",121669,0.0027919,5.74879682051282e-07,0.027249575,0.000259316530558333,0.007142075,8.5394663525641e-07
"67",135720,0.002997875,1.46758390705128e-06,0.029874,0.000238034375692308,0.008044,1.34170523076923e-06
"68",151394,0.00336175,9.87735884615385e-07,0.0361005,0.000369506097076923,0.009029575,1.49984845576923e-06
"69",168878,0.00391665,1.08876813076923e-06,0.038862125,0.000426830771650641,0.009686025,1.50207776858974e-06
"70",188382,0.0037724,1.39928168205128e-06,0.043890575,0.000585139970301923,0.0107837,1.43256924102564e-06
"71",210137,0.0048263,1.8200596e-06,0.054605025,0.000457969426383974,0.01161215,1.30100977179487e-06
"72",234405,0.005671175,3.16736178910256e-06,0.05940095,0.000668291276458974,0.01330375,2.39143670512821e-06
