"","size","quickselect_average","quickselect_variance","heapselect_average","heapselect_variance","medianmediansselect_average","medianmediansselect_variance"
"84",870042,0.02241345,3.35469952794872e-05,0.2351356,1.45873442974359e-05,0.045804425,5.37077168653846e-06
"85",970520,0.024222325,2.9275547250641e-05,0.2689939,2.8244952451282e-05,0.05054855,8.65718476666666e-06
"86",1082602,0.029597575,3.80745920967949e-05,0.29974685,1.78946857717949e-05,0.0566671,5.49936588717949e-06
"87",1207629,0.02839975,3.53756000897436e-05,0.340843225,3.98540073070513e-05,0.062017675,9.80644278910256e-06
"88",1347094,0.0315577,4.49115018051282e-05,0.388318325,2.56877869429487e-05,0.0700049,1.0799024348718e-05
"89",1502665,0.035708725,6.94673757942308e-05,0.442048325,4.37426837634615e-05,0.0774416,7.27892598974359e-06
"90",1676202,0.03907535,7.80161797717949e-05,0.49672785,4.5379983874359e-05,0.0887843,1.15026203179487e-05
"91",1869781,0.0456759,0.000105515459579487,0.564735075,4.25651449942308e-05,0.0978399,1.35064591179487e-05
"92",2085716,0.048887625,0.000113484523112179,0.646078525,5.34224913839742e-05,0.106313125,6.80418308653846e-06
"93",2326588,0.053933575,0.000182496291891667,0.730224275,6.28953425634616e-05,0.12039005,1.51469222538462e-05
"94",2595278,0.0637223,0.000123502355753846,0.82759955,9.41854668692309e-05,0.133053075,8.53494586602565e-06
"95",2894998,0.06614415,0.000247022059771795,0.938551,8.56049336410258e-05,0.148370525,1.9876316050641e-05
"96",3229331,0.075911075,0.000440604375917308,1.0653819,0.000109544031835897,0.164512075,1.59928290967949e-05
"97",3602276,0.086360525,0.000306183215794231,1.20323385,0.000127558906182051,0.185900925,4.95112817121795e-05
"98",4018290,0.0951343,0.000384377184625641,1.36666945,6.57200320487181e-05,0.205494125,4.86207682660256e-05
"99",4482349,0.112502925,0.000542773959404487,1.53695195,8.2536243997436e-05,0.2352118,9.36255320615385e-05
"100",5000000,0.11160615,0.000564479521925641,1.746341225,0.000214487532383974,0.2586541,0.000105162562605128
