"","size","quickselect_average","quickselect_variance","heapselect_average","heapselect_variance","medianmediansselect_average","medianmediansselect_variance"
"54",32780,0.000620475,8.67671275641026e-08,0.00114465,1.36932076923077e-08,0.002092525,5.93933326923077e-08
"55",36565,0.000654175,1.31841378846154e-07,0.001328075,4.70287378205128e-08,0.0024675,4.88514820512821e-07
"56",40788,0.000783,1.61004615384615e-07,0.001562425,4.46917225e-07,0.0026691,1.28853220512821e-07
"57",45499,0.00093305,1.95252253846154e-07,0.00161885,8.69479256410257e-08,0.00288945,6.56301512820513e-08
"58",50753,0.000793375,1.5775921474359e-07,0.00165375,3.84441923076923e-08,0.00309625,1.19228243589744e-07
"59",56615,0.001025025,2.12948332692308e-07,0.001846025,9.84122301282051e-08,0.00334525,1.07472961538462e-07
"60",63153,0.0010652,3.06228625641026e-07,0.00209485,8.37012076923077e-08,0.003877625,1.81923522435897e-07
"61",70446,0.00117335,5.12427412820513e-07,0.00246685,1.38258643589744e-07,0.0044333,1.45840933333333e-07
"62",78582,0.001402375,5.66529317307692e-07,0.00275685,2.49115669230769e-07,0.00472875,2.37912551282051e-07
"63",87657,0.0011874,3.70213476923077e-07,0.0028521,9.66551692307692e-08,0.005276075,2.42431199358974e-07
"64",97780,0.001582175,6.00693276282051e-07,0.003514475,2.1457620448718e-07,0.005640825,1.77617532692308e-07
"65",109073,0.0015729,6.2501322051282e-07,0.003531,2.90523230769231e-07,0.006567625,1.96815625e-07
"66",121669,0.00223565,2.20220274615385e-06,0.005733725,8.117867025e-06,0.0087337,4.24877842051282e-06
"67",135720,0.002249275,1.37571861474359e-06,0.00497615,5.34172592307692e-07,0.008523125,3.59065753205128e-07
"68",151394,0.00232755,1.02433984358974e-06,0.005879575,5.50473050705128e-06,0.0100942,9.38766175384615e-06
"69",168878,0.002740075,2.28559576346154e-06,0.006046975,3.52850694807692e-06,0.0102932,5.48506401025641e-06
"70",188382,0.00289125,1.98863173076923e-06,0.006197975,4.02688794230769e-07,0.010664775,6.17928589102564e-07
"71",210137,0.003452175,3.08683825064103e-06,0.00686575,4.5201291025641e-07,0.011465825,1.92812353205128e-07
"72",234405,0.0039499,3.01387234871795e-06,0.007664875,3.34587240384616e-07,0.013197375,4.32587932692308e-07
"73",261476,0.00397855,4.77696040769231e-06,0.008281325,6.80537096794872e-07,0.01458595,1.18416004871795e-06
"74",291673,0.004250675,4.23401063525641e-06,0.009176675,5.18221507051282e-07,0.01593965,4.17291515384615e-07
