"","size","quickselect_average","quickselect_variance","heapselect_average","heapselect_variance","medianmediansselect_average","medianmediansselect_variance"
"54",32780,0.00047815,5.89577205128205e-08,0.00098845,4.78656153846154e-09,0.001711925,1.44895583333333e-08
"55",36565,0.000552175,7.40000455128205e-08,0.001115325,6.18284038461538e-09,0.0019334,1.3441117948718e-08
"56",40788,0.000603725,5.37503583333333e-08,0.001233275,6.0047173076923e-09,0.002151375,9.90285576923077e-09
"57",45499,0.0007154,8.38760923076923e-08,0.001371775,4.24884551282052e-09,0.0024143,1.27791897435897e-08
"58",50753,0.000751475,1.22678307051282e-07,0.0015433,1.30408820512821e-08,0.002695425,3.26350711538462e-08
"59",56615,0.00088955,1.96062407692308e-07,0.001748625,1.91095224358974e-08,0.0029933,2.29995487179487e-08
"60",63153,0.000909575,1.83768917307692e-07,0.001916025,1.28741788461539e-08,0.003408575,5.14254814102564e-08
"61",70446,0.001092975,3.03784281410256e-07,0.002412025,6.86836794230769e-07,0.00412625,7.10004243589744e-07
"62",78582,0.00119955,2.82548356410256e-07,0.002517725,8.75494865384615e-08,0.004252325,2.38470071153846e-07
"63",87657,0.001370475,5.50257896794872e-07,0.0027858,1.0157801025641e-07,0.0046502,6.96718051282051e-08
"64",97780,0.00129005,3.15913382051282e-07,0.003053675,4.70484301282051e-08,0.004974375,3.71391121794872e-08
"65",109073,0.0016027,5.42247548717949e-07,0.003523125,1.7478503525641e-07,0.005891625,9.0829266025641e-08
"66",121669,0.0018807,8.05231753846154e-07,0.00378645,5.82901e-08,0.006467725,1.21251589102564e-07
"67",135720,0.002206525,7.91248153205128e-07,0.00429365,1.40604130769231e-07,0.0072436,2.10287015384615e-07
"68",151394,0.002391075,7.97434173717949e-07,0.0047582,1.59897958974359e-07,0.0082462,4.23705856410256e-07
"69",168878,0.00265785,1.83511151538462e-06,0.00526265,1.52233361538462e-07,0.009324475,7.65897640384615e-07
"70",188382,0.002990975,1.56214679423077e-06,0.006069975,3.04141460897436e-07,0.0102032,1.31594447179487e-06
"71",210137,0.003612425,2.53457491730769e-06,0.00673075,3.79650294871795e-07,0.011840025,1.30795658910256e-06
"72",234405,0.00320325,2.34547373076923e-06,0.0072147,2.34634317948718e-07,0.0128981,1.39582952820513e-06
"73",261476,0.004200075,3.18746089166667e-06,0.00843735,7.37107412820513e-07,0.0152624,2.48629773333333e-06
"74",291673,0.005011875,7.45806934294872e-06,0.00937975,1.39154173076923e-06,0.016617125,2.50780857371795e-06
"75",325357,0.004915625,6.18507003525641e-06,0.010709975,1.1719939224359e-06,0.018099175,2.6555531224359e-06
"76",362932,0.0059489,6.26768291282051e-06,0.0122029,1.49973132307692e-06,0.02075635,2.91453166923077e-06
"77",404846,0.0063845,9.14799164102564e-06,0.013939975,3.92186305064103e-06,0.022886725,9.89939158910256e-06
"78",451600,0.007501175,8.56540045576923e-06,0.0152097,1.98492165128205e-06,0.0238892,5.13899513846154e-06
"79",503754,0.008831225,2.10446986403846e-05,0.01660585,2.90038059230769e-06,0.025642525,2.90239764038462e-06
"80",561931,0.008644975,1.66282443839744e-05,0.017976925,1.8295763275641e-06,0.028316575,2.28120440448718e-06
"81",626826,0.0102999,3.06679327076923e-05,0.020290625,2.63050906089744e-06,0.03137835,1.88204264358974e-06
"82",699216,0.0110705,3.98122951282051e-05,0.02237925,2.81088506410256e-06,0.034634125,2.19482970192308e-06
"83",779966,0.0133831,2.8284779374359e-05,0.02473565,2.7375907974359e-06,0.0385021,3.2511262974359e-06
"84",870042,0.015246675,3.49034595583333e-05,0.02705725,2.62608075641026e-06,0.043237875,4.22394329166667e-06
"85",970520,0.01599,5.05511422564103e-05,0.03039725,2.66562619230769e-06,0.047250925,3.53992207115385e-06
"86",1082602,0.0171793,7.56297041641026e-05,0.034239775,3.13069381987179e-06,0.0537973,3.46912811282051e-06
"87",1207629,0.01693765,5.46564934641026e-05,0.037922475,2.87573205064103e-06,0.059533325,2.97355704551282e-06
"88",1347094,0.02355345,9.60904084589744e-05,0.042243575,2.53446707115385e-06,0.066199975,3.41121576858974e-06
"89",1502665,0.02104845,9.01002640487179e-05,0.0476906,4.31052086153846e-06,0.075059275,5.65839861474358e-06
"90",1676202,0.0252698,0.000134903158061538,0.0535955,5.59272923076923e-06,0.083529425,6.59191866089744e-06
"91",1869781,0.0293739,0.000141434829066667,0.059555425,4.20536204551282e-06,0.09324975,9.25429839743589e-06
"92",2085716,0.02983915,0.000113428650028205,0.0659843,2.91927508717949e-06,0.102652425,6.46344768653846e-06
"93",2326588,0.03359705,0.000243003190151282,0.0739207,2.38003057435897e-06,0.114668325,5.07993330192308e-06
"94",2595278,0.040819275,0.000396596376050641,0.08397235,6.55537566923077e-06,0.12807955,1.07328185102564e-05
"95",2894998,0.041099875,0.000283810231445513,0.09297655,5.59253174102564e-06,0.1422832,7.86174257435897e-06
"96",3229331,0.0430777,0.000600909807497436,0.10374455,5.03728251025641e-06,0.15828695,5.60922568974358e-06
"97",3602276,0.05975045,0.00049298752235641,0.11644805,8.21377374102564e-06,0.177433175,7.45562019935897e-06
"98",4018290,0.058313275,0.000866403206153205,0.1305803,1.14764128820513e-05,0.19794065,1.10003778230769e-05
"99",4482349,0.06653845,0.00103463407056154,0.145472225,8.51451643525642e-06,0.219013375,9.28274916346154e-06
"100",5000000,0.06700885,0.00114373588777179,0.161691175,7.85055399423077e-06,0.2459526,1.94407835794872e-05
